thank you	9900
love you	4905
big boss	3939
very nice	3913
nice song	3597
happy birthday	2889
sir please	2567
miss you	2198
sir me	2159
news channel	1813
hi recipe	1726
hello sir	1664
very good	1633
detail video	1626
thanks sir	1603
he hi	1568
good morning	1536
social media	1506
nice video	1505
next time	1497
please sir	1451
supreme court	1322
bullet train	1283
lock down	1275
so much	1273
time pass	1272
police station	1243
congress party	1213
contact no	1163
try karen	1130
please reply	1115
nice recipe	1111
hi sir	1042
guru dow	999
well done	941
you tube	941
hi while	929
no song	927
mobile number	920
me try	916
contact number	908
god god	897
me hi	885
supportive comments	878
good job	872
press conference	859
to video	859
he to	847
last year	841
first time	834
special report	817
tech tech	804
he song	796
sir he	794
ice cream	771
local train	766
so nice	725
phone number	723
next episode	721
sir sir	720
smart city	705
mobile no	702
are he	699
corona mule	698
me he	696
like it	692
central government	687
god bless	678
recipe try	673
full support	668
he me	666
love story	658
shame on	654
to hi	645
final year	642
middle class	640
third class	628
so called	624
prime minister	624
lockdown mule	623
recipe share	622
fake news	620
web series	615
over acting	600
is best	587
it cell	585
big fan	584
take care	582
home minister	573
light bill	561
vote bank	557
reply me	556
help me	547
great work	537
super star	531
may be	529
we support	526
wing commander	525
last time	501
copy paste	495
no video	487
at least	486
bare me	486
good news	482
good night	475
film industry	474
question bank	470
next election	469
share market	468
he as	467
world cap	467
please help	465
problem solve	464
love from	463
sir police	462
he he	462
nice sir	461
thank sir	454
west indies	445
phone no	443
supreme corts	443
corona virus	436
chief minister	432
hi news	422
are to	421
mob no	419
full episode	418
hall ticket	418
indian army	416
mule he	416
hi serial	412
st time	411
to me	410
baking powder	410
dear sir	409
vote for	407
traffic jam	402
good work	401
so cute	399
hats off	398
note pro	397
video share	395
great sir	387
bad bad	386
baking soda	385
next video	382
sir hi	382
nice voice	382
portal band	380
best luck	378
ground level	377
so sweet	377
me to	375
high court	372
recipe me	372
great job	371
super song	371
thanks lot	369
last week	368
state government	367
account open	367
hi me	360
no send	358
hi post	354
like you	348
good luck	347
hot he	343
sir video	342
description box	339
age limit	337
bless you	337
hi video	335
hi he	335
side effects	334
exams cancel	332
breaking news	332
next year	330
ballet paper	329
weight loss	325
bar bar	321
congress so	321
black money	320
common man	319
mental hospital	319
fake account	318
reply sir	318
is great	316
reservation band	314
real life	312
are hi	307
background music	306
number song	301
corn flour	296
police department	295
saga sir	295
phone booking	295
time waste	294
on part	294
he recipe	293
as hot	291
hi tech	290
income tax	289
full movie	289
personal life	287
cake recipe	287
he news	281
he video	281
love it	281
side effect	280
traffic police	278
number plate	276
link share	275
same here	270
welcome to	268
political party	268
news channels	268
sir form	268
as usual	267
so sad	265
no entry	264
so please	264
world cup	263
number video	263
next week	262
milk powder	262
call me	260
cut off	258
etc etc	257
me me	257
ache din	255
road sho	255
corona positive	254
video made	254
he congress	253
sir no	253
you are	252
congress congress	252
please please	251
same problem	251
yes sir	249
bomb blast	249
social distance	248
english medium	248
video post	248
bank of	248
video me	246
nice information	245
super hit	243
he or	241
he band	238
photo share	238
education minister	238
real hero	238
are me	237
tell me	237
blue print	236
railway station	235
tax free	235
well said	234
hi to	230
be like	229
remote control	227
bye bye	226
channel subscribe	226
follow back	225
he tech	225
no problem	225
respected sir	224
he sang	224
waiting list	224
sir thanks	224
best friend	224
no sir	223
thanks for	221
news paper	220
english yet	220
sir great	220
come back	217
next part	217
publicity stunt	215
no doubt	215
make up	215
the great	214
we love	214
an he	214
red zone	213
link send	213
video mule	213
number send	212
medical college	211
hope so	211
nice work	211
he is	207
ok sir	207
me video	207
salute sir	206
so beautiful	206
kidney stone	206
mule hi	205
band hot	204
heart attack	204
break up	203
best wishes	203
common sense	202
he media	202
merit list	202
election commission	201
this is	201
proud of	200
keep going	200
hi movie	199
screen shot	199
credit card	199
medical students	198
video sir	198
family members	198
strict action	196
thank god	196
hi hi	196
police constable	196
covid center	195
we want	195
wine shop	193
covid mule	193
recipes try	193
liked video	191
jet airways	191
corona hot	191
self respect	191
no episode	191
time table	190
he photo	190
happy journey	189
sargical strike	189
love my	188
go back	188
very true	187
great man	187
thanks to	185
happy anniversary	184
march du	184
please share	183
like your	183
show off	182
long term	182
out of	180
corona patient	180
very much	180
waiting for	179
washing machine	179
too good	178
but he	177
pension band	177
bat he	177
ration card	176
new video	176
income certificate	176
jail me	175
stock market	175
hi yet	175
mule me	175
he sale	175
last date	175
nice songs	175
gas cylinder	174
sir reply	174
over confidence	173
best song	173
hat pay	172
love marriage	172
he police	172
silver oak	171
video shoot	170
comment box	170
my favorite	170
day dreamer	170
new year	169
private hospital	169
are are	169
recipe post	169
congratulations sir	168
telegram group	168
business man	167
for example	167
full video	167
ok ok	166
he channel	166
open category	166
hi receipe	166
drone shots	166
video editing	165
right sir	164
superb song	164
thanks dear	164
per month	163
channel band	163
government job	162
medical student	161
left side	161
solar pump	161
sorry sir	160
comment section	160
proud feel	160
hot as	159
me tech	159
shame shame	159
all best	159
rice flour	159
hard work	158
all time	158
sir combine	158
home tour	158
victim card	157
corona cases	157
mobile phone	157
kitchen king	157
madam me	156
my god	156
jail made	156
company band	156
so me	154
of course	154
south indian	154
the best	154
thanks you	153
teen while	153
fan following	152
and all	152
film city	151
problem hot	151
good decision	150
corona patients	150
great leader	150
hi madam	150
din me	149
june video	149
ice cake	149
police officer	148
king of	148
love your	148
best video	148
coco powder	148
short film	147
group join	147
far far	147
easy recipe	147
recipe follow	147
to he	146
companya band	146
first comment	146
nice episode	146
fresh cream	146
problem yet	145
good evening	145
no parking	145
hi comment	145
number van	145
news reporter	144
full on	144
negative comments	144
bus stand	144
absolutely right	144
to photo	144
am from	144
fungal infection	144
he log	143
only one	143
weight gain	143
june du	143
last month	142
sir number	142
bus stop	142
star sports	142
jail he	142
